"participant","sex","age","music_yrs","block","trial_n","stim","stim_idx","trial_rep_n","resp","RT","dB_ratio"
"2201","f",28,7,1,5,"yl10.wav",10,1,0,1.8373,48
"2201","f",28,7,1,6,"yl5.wav",5,1,0,2.0674,-12
"2201","f",28,7,1,7,"yl1.wav",1,1,0,2.226,-60
"2201","f",28,7,1,8,"yl2.wav",2,1,0,2.0605,-48
"2201","f",28,7,1,9,"yl4.wav",4,1,1,2.8753,-24
"2201","f",28,7,1,10,"yl9.wav",9,1,1,1.7561,36
"2201","f",28,7,1,11,"yl11.wav",11,1,1,2.0675,60
"2201","f",28,7,1,12,"yl7.wav",7,2,0,1.818,12
"2201","f",28,7,1,13,"yl3.wav",3,2,0,2.4611,-36
"2201","f",28,7,1,14,"yl1.wav",1,2,0,2.8493,-60
"2201","f",28,7,1,15,"yl4.wav",4,2,0,1.157,-24
"2201","f",28,7,1,16,"yl11.wav",11,2,1,2.2844,60
"2201","f",28,7,1,17,"yl6.wav",6,2,0,2.7258,0
"2201","f",28,7,1,18,"yl2.wav",2,2,0,3.1518,-48
"2201","f",28,7,1,19,"yl10.wav",10,2,1,4.3745,48
"2201","f",28,7,1,20,"yl5.wav",5,2,0,1.8575,-12
"2201","f",28,7,1,21,"yl8.wav",8,2,0,1.012,24
"2201","f",28,7,1,22,"yl9.wav",9,2,1,1.5752,36
"2201","f",28,7,2,1,"yl3.wav",3,1,0,1.6081,-36
"2201","f",28,7,2,2,"yl4.wav",4,1,0,1.8759,-24
"2201","f",28,7,2,3,"yl1.wav",1,1,0,1.5068,-60
"2201","f",28,7,2,4,"yl5.wav",5,1,0,4.8584,-12
"2201","f",28,7,2,5,"yl11.wav",11,1,0,1.9065,60
"2201","f",28,7,2,6,"yl7.wav",7,1,0,1.4916,12
"2201","f",28,7,2,7,"yl8.wav",8,1,0,1.9351,24
"2201","f",28,7,2,8,"yl10.wav",10,1,1,2.1044,48
"2201","f",28,7,2,9,"yl6.wav",6,1,0,1.4686,0
"2201","f",28,7,2,10,"yl2.wav",2,1,0,1.5788,-48
"2201","f",28,7,2,11,"yl9.wav",9,1,1,3.8081,36
"2201","f",28,7,2,12,"yl8.wav",8,2,1,1.7173,24
"2201","f",28,7,2,13,"yl1.wav",1,2,0,2.2122,-60
"2201","f",28,7,2,14,"yl4.wav",4,2,0,2.7348,-24
"2201","f",28,7,2,15,"yl3.wav",3,2,0,3.728,-36
"2201","f",28,7,2,16,"yl11.wav",11,2,1,1.9984,60
"2201","f",28,7,2,17,"yl10.wav",10,2,1,3.4751,48
